Root Domain,FB library,Google library,Location on Site,Primary Domain,Stripe First Detected,Technology Spend,Sales Revenue,Social,Employees,SKU,Company,Vertical,Tranco,Page Rank,Majestic,Umbrella,Telephones,Emails,X,Twitter,Facebook,LinkedIn,People,Verified Profiles,City,State,Zip,Country,First Detected,Last Found,First Indexed,Last Indexed,eCommerce Platform,CMS Platform,CRM Platform,Marketing Automation Platform,Payment Platforms,CRuX Rank,Cloudflare Rank,Agency,Hosting Provider,AI,Stripe,Stripe Last Detected,Exclusion,Compliance
londontechsocial.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=londontechsocial.com&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=londontechsocial.com,londontechsocial.com,londontechsocial.com,2025-08-14,$0,,,,,,,,,,,,,,,,,,,,,,,2025-08-14,2025-08-30,2025-08-30,2025-08-30,,,,,Stripe,,,,Cloudflare Hosting,,Yes,2025-08-30,,
gharximek.online,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=gharximek.online&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=gharximek.online,gharximek.online,gharximek.online,2025-08-13,$0,,,,,,,,,,,,,,,,,,,,,,,2025-08-13,2025-08-30,2025-10-07,2025-10-07,,,,,Gumroad;Stripe,,,,Vercel;Amazon;Google Cloud;Google,,Yes,2025-08-13,,
thebullseyeagency.ai,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=thebullseyeagency.ai&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=thebullseyeagency.ai,thebullseyeagency.ai,thebullseyeagency.ai,2025-08-11,$631,,,,,,,,,,,,,,,,,,,,,,,2025-08-18,2025-10-06,2025-10-06,2025-10-06,,KaTeX,,,PayPal,,,,Vercel;Amazon,,Yes,2025-09-25,,
quotiva.app,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=quotiva.app&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=quotiva.app,quotiva.app,quotiva.app,2025-08-08,$0,,,,,,,,,,,,,,,,,,,,,,,2025-08-08,2025-10-06,2025-10-06,2025-10-06,,,,,Stripe,,,,Vercel;Cloudflare Hosting,,Yes,2025-10-06,,
findly.tools,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=findly.tools&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=findly.tools,findly.tools,findly.tools,2025-08-08,$0,,,,,,,,"687,381",,,,,,,,,,,,,,,2025-08-08,2025-10-06,2025-10-10,2025-10-10,,,,,Stripe,Top 50m,Top 500k,,Hetzner,,Yes,2025-10-06,,
daopalateny.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=daopalateny.com&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=daopalateny.com,daopalateny.com,daopalateny.com,2025-08-05,$77,,,,,,,,,,,,,,,,,,,,,,,2025-08-05,2025-10-05,2025-10-05,2025-10-05,,,,,PayPal;Stripe;Stripe v3,,,,Vercel;Amazon;Cogeco Peer 1,,Yes,2025-10-05,,
blurtimprov.com,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=blurtimprov.com&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=blurtimprov.com,blurtimprov.com,blurtimprov.com,2025-08-04,$0,,,,,,,,,,,,,,,,,,,,,,,2025-08-04,2025-10-06,2025-10-06,2025-10-06,,,,,Stripe,,,,Vercel;Amazon;Cogeco Peer 1,,Yes,2025-10-06,,
fastbasket.shop,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=fastbasket.shop&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=fastbasket.shop,fastbasket.shop,fastbasket.shop,2025-07-31,$0,,,,,,,,,,,,,,,,,,,,,,,2025-07-31,2025-08-29,2025-10-06,2025-10-06,,,,,Klarna;Stripe,,,,Cloudflare Hosting,,Yes,2025-08-29,,
rizkiiaprmn.bio,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=rizkiiaprmn.bio&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=rizkiiaprmn.bio,rizkiiaprmn.bio,rizkiiaprmn.bio,2025-07-31,$0,,,,,,,,,,,,,,,,,,,,,,,2025-07-31,2025-10-06,2025-10-06,2025-10-06,,,,,Stripe,,,,Cloudflare Hosting,,Yes,2025-10-06,,
abeille.ai,https://www.facebook.com/ads/library/?active_status=active&ad_type=all&country=ALL&is_targeted_country=false&media_type=all&q=abeille.ai&search_type=keyword_unordered,https://adstransparency.google.com/?region=anywhere&domain=abeille.ai,support.abeille.ai;support.abeille.ai/*,abeille.ai,2025-07-30,$708,,,,,,,,"25,301,078",,,,,,,,,,,,,,,2025-07-30,2025-07-30,2025-10-10,2025-10-10,,WordPress;WordPress 6.8,,,,Top 50m,,,Cloudways;Cloudflare Hosting,,Yes,2025-07-30,,
